time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2023-10-10,12.3,28.8,0.0,Antananarivo,open-meteo
2023-10-11,9.5,31.8,0.0,Antananarivo,open-meteo
2023-10-12,14.3,31.0,0.0,Antananarivo,open-meteo
2023-10-13,16.5,31.6,2.0,Antananarivo,open-meteo
2023-10-14,15.7,30.7,4.9,Antananarivo,open-meteo
2023-10-15,14.7,29.7,3.4,Antananarivo,open-meteo
2023-10-16,15.6,30.7,10.7,Antananarivo,open-meteo
2023-10-17,16.0,28.4,16.7,Antananarivo,open-meteo
2023-10-18,15.8,28.0,0.5,Antananarivo,open-meteo
2023-10-19,17.3,28.3,0.9,Antananarivo,open-meteo
2023-10-20,16.6,28.4,0.5,Antananarivo,open-meteo
2023-10-21,16.3,26.4,3.4,Antananarivo,open-meteo
2023-10-22,15.0,27.7,7.9,Antananarivo,open-meteo
2023-10-23,15.3,27.5,13.8,Antananarivo,open-meteo
2023-10-24,15.0,27.5,2.7,Antananarivo,open-meteo
2023-10-25,15.2,28.3,3.9,Antananarivo,open-meteo
2023-10-26,14.4,28.4,0.2,Antananarivo,open-meteo
2023-10-27,16.9,27.4,0.5,Antananarivo,open-meteo
2023-10-28,17.0,26.3,6.1,Antananarivo,open-meteo
2023-10-29,15.6,26.4,16.3,Antananarivo,open-meteo
2023-10-30,15.4,27.2,0.0,Antananarivo,open-meteo
2023-10-31,16.2,26.8,0.3,Antananarivo,open-meteo
2023-11-01,16.3,27.4,7.9,Antananarivo,open-meteo
2023-11-02,15.2,26.5,0.9,Antananarivo,open-meteo
2023-11-03,14.7,25.8,4.6,Antananarivo,open-meteo
2023-11-04,16.3,22.3,5.9,Antananarivo,open-meteo
2023-11-05,16.4,24.0,0.7,Antananarivo,open-meteo
2023-11-06,16.5,25.1,2.5,Antananarivo,open-meteo
2023-11-07,15.6,24.9,1.0,Antananarivo,open-meteo
2023-11-08,15.7,27.2,4.6,Antananarivo,open-meteo
2023-11-09,15.4,26.4,3.7,Antananarivo,open-meteo
2023-11-10,14.4,26.3,1.0,Antananarivo,open-meteo
2023-11-11,14.5,27.1,0.1,Antananarivo,open-meteo
2023-11-12,15.0,26.6,0.2,Antananarivo,open-meteo
2023-11-13,15.5,27.6,1.3,Antananarivo,open-meteo
2023-11-14,14.8,26.9,3.5,Antananarivo,open-meteo
2023-11-15,15.5,23.8,23.2,Antananarivo,open-meteo
2023-11-16,15.6,24.7,7.8,Antananarivo,open-meteo
2023-11-17,15.5,24.7,1.4,Antananarivo,open-meteo
2023-11-18,16.0,25.3,6.9,Antananarivo,open-meteo
2023-11-19,16.9,27.2,0.6,Antananarivo,open-meteo
2023-11-20,13.8,27.7,0.0,Antananarivo,open-meteo
2023-11-21,12.9,26.4,0.0,Antananarivo,open-meteo
2023-11-22,12.6,25.2,0.0,Antananarivo,open-meteo
2023-11-23,16.4,25.4,0.0,Antananarivo,open-meteo
2023-11-24,13.1,25.3,0.0,Antananarivo,open-meteo
2023-11-25,12.7,26.0,1.9,Antananarivo,open-meteo
2023-11-26,12.0,26.5,0.3,Antananarivo,open-meteo
2023-11-27,12.6,29.1,0.0,Antananarivo,open-meteo
2023-11-28,15.8,29.5,0.0,Antananarivo,open-meteo
2023-11-29,15.7,29.8,3.3,Antananarivo,open-meteo
2023-11-30,15.9,29.4,0.9,Antananarivo,open-meteo
2023-12-01,16.5,27.2,9.2,Antananarivo,open-meteo
2023-12-02,15.9,25.3,4.6,Antananarivo,open-meteo
2023-12-03,15.3,26.1,0.2,Antananarivo,open-meteo
2023-12-04,16.0,26.1,3.1,Antananarivo,open-meteo
2023-12-05,15.4,28.2,0.0,Antananarivo,open-meteo
2023-12-06,16.6,29.6,0.1,Antananarivo,open-meteo
2023-12-07,15.7,25.5,0.0,Antananarivo,open-meteo
2023-12-08,15.5,28.3,0.3,Antananarivo,open-meteo
2023-12-09,15.9,27.6,14.9,Antananarivo,open-meteo
2023-12-10,16.7,28.4,2.7,Antananarivo,open-meteo
2023-12-11,17.4,28.7,0.4,Antananarivo,open-meteo
2023-12-12,16.7,28.5,0.0,Antananarivo,open-meteo
2023-12-13,18.5,30.4,0.0,Antananarivo,open-meteo
2023-12-14,16.1,29.3,0.0,Antananarivo,open-meteo
2023-12-15,18.1,29.0,0.0,Antananarivo,open-meteo
2023-12-16,16.6,30.3,0.0,Antananarivo,open-meteo
2023-12-17,17.5,28.9,0.5,Antananarivo,open-meteo
2023-12-18,18.6,29.8,35.0,Antananarivo,open-meteo
2023-12-19,18.7,27.8,3.5,Antananarivo,open-meteo
2023-12-20,18.3,28.0,5.0,Antananarivo,open-meteo
2023-12-21,17.5,25.6,19.0,Antananarivo,open-meteo
2023-12-22,17.4,27.8,26.4,Antananarivo,open-meteo
2023-12-23,16.3,27.3,4.1,Antananarivo,open-meteo
2023-12-24,16.7,26.6,19.1,Antananarivo,open-meteo
2023-12-25,16.2,26.7,2.6,Antananarivo,open-meteo
2023-12-26,15.0,27.2,11.4,Antananarivo,open-meteo
2023-12-27,16.1,27.1,2.9,Antananarivo,open-meteo
2023-12-28,17.1,26.9,9.1,Antananarivo,open-meteo
2023-12-29,16.7,27.8,14.2,Antananarivo,open-meteo
2023-12-30,16.4,27.9,6.3,Antananarivo,open-meteo
2023-12-31,16.5,27.1,34.0,Antananarivo,open-meteo
2024-01-01,17.8,27.7,4.4,Antananarivo,open-meteo
2024-01-02,18.9,23.6,4.9,Antananarivo,open-meteo
2024-01-03,18.2,27.1,0.4,Antananarivo,open-meteo
2024-01-04,18.9,27.9,3.4,Antananarivo,open-meteo
2024-01-05,17.8,25.5,21.5,Antananarivo,open-meteo
2024-01-06,17.9,25.8,12.2,Antananarivo,open-meteo
2024-01-07,17.8,27.9,19.8,Antananarivo,open-meteo
2024-01-08,17.7,27.6,9.5,Antananarivo,open-meteo
2024-01-09,17.3,26.9,13.6,Antananarivo,open-meteo
2024-01-10,16.9,27.7,3.0,Antananarivo,open-meteo
2024-01-11,15.5,27.1,0.9,Antananarivo,open-meteo
2024-01-12,13.5,28.2,0.0,Antananarivo,open-meteo
2024-01-13,15.2,28.7,0.0,Antananarivo,open-meteo
2024-01-14,15.4,29.7,0.2,Antananarivo,open-meteo
2024-01-15,18.7,26.1,20.5,Antananarivo,open-meteo
2024-01-16,18.2,26.8,18.8,Antananarivo,open-meteo
2024-01-17,18.8,24.5,82.0,Antananarivo,open-meteo
2024-01-18,18.1,20.8,43.7,Antananarivo,open-meteo
2024-01-19,17.2,23.5,12.9,Antananarivo,open-meteo
2024-01-20,17.0,25.1,6.1,Antananarivo,open-meteo
2024-01-21,18.0,26.2,12.4,Antananarivo,open-meteo
2024-01-22,18.2,27.2,24.5,Antananarivo,open-meteo
2024-01-23,17.3,28.8,0.3,Antananarivo,open-meteo
2024-01-24,16.7,27.4,3.6,Antananarivo,open-meteo
2024-01-25,16.5,23.0,8.6,Antananarivo,open-meteo
2024-01-26,16.3,21.6,3.2,Antananarivo,open-meteo
2024-01-27,15.5,25.0,19.7,Antananarivo,open-meteo
2024-01-28,14.9,26.3,5.4,Antananarivo,open-meteo
2024-01-29,16.7,25.6,27.8,Antananarivo,open-meteo
2024-01-30,16.2,26.8,1.1,Antananarivo,open-meteo
2024-01-31,15.7,26.9,0.3,Antananarivo,open-meteo
2024-02-01,16.4,26.6,8.5,Antananarivo,open-meteo
2024-02-02,17.3,25.2,3.0,Antananarivo,open-meteo
2024-02-03,17.4,24.7,0.6,Antananarivo,open-meteo
2024-02-04,17.2,25.6,4.0,Antananarivo,open-meteo
2024-02-05,17.4,26.3,8.8,Antananarivo,open-meteo
2024-02-06,17.6,26.9,16.5,Antananarivo,open-meteo
2024-02-07,16.6,26.6,6.8,Antananarivo,open-meteo
2024-02-08,17.5,26.7,19.5,Antananarivo,open-meteo
2024-02-09,17.6,27.5,27.4,Antananarivo,open-meteo
